Category,Sub-Category,Class Pattern,Example,CSS Property,Notes,For Dummies – How to Use & What It Does,Frappe UI Default?,Frappe UI Notes
Interactivity,User Select,select-{value},select-none,user-select: none,none text all auto,"Controls whether text can be selected. select-none prevents copying (for buttons/UI), select-all selects everything on click (for code snippets).",,
Interactivity,Pointer Events,pointer-events-none | pointer-events-auto,pointer-events-none,pointer-events: none,,Controls whether an element responds to clicks/taps. pointer-events-none makes it 'click-through' — useful for overlays that shouldn't block interaction.,,
Interactivity,Resize,resize | resize-none | resize-x | resize-y,resize-none,resize: none,,"Allows users to drag-resize an element (like a textarea). resize-none disables it, resize allows both directions.",,
Interactivity,Scroll Behavior,scroll-auto | scroll-smooth,scroll-smooth,scroll-behavior: smooth,,Enables smooth scrolling for anchor links. Add scroll-smooth to <html> and all 'jump to section' links will glide instead of teleporting.,,
Interactivity,Scroll Margin,scroll-m-{value},scroll-mt-4,scroll-margin-top: 1rem,Uses spacing scale. Sides: x y t r b l,Adds offset when scrolling to an element via anchor links. Prevents sticky headers from covering the target section.,,
Interactivity,Scroll Padding,scroll-p-{value},scroll-pt-4,scroll-padding-top: 1rem,Uses spacing scale. Sides: x y t r b l,Adds padding inside a scroll container's snap points. Ensures snapped items don't butt right up against the container edge.,,
Interactivity,Scroll Snap Align,snap-{value},snap-center,scroll-snap-align: center,start end center none,"Controls where an item snaps inside a scroll container. snap-center for a centered carousel effect, snap-start for a left-aligned one.",,
Interactivity,Scroll Snap Stop,snap-normal | snap-always,snap-always,scroll-snap-stop: always,,Forces the scroll to stop at EVERY snap point instead of flying past. Use snap-always for carousels where every slide matters.,,
Interactivity,Scroll Snap Type,snap-{value},snap-x,scroll-snap-type: x,none x y both mandatory proximity,"Enables scroll snapping on a container. snap-x for horizontal carousels, snap-y for vertical snap-scrolling. Add snap-mandatory to force it.",,
Interactivity,Touch Action,touch-{value},touch-none,touch-action: none,auto none pan-x pan-left pan-right pan-y pan-up pan-down pinch-zoom manipulation,"Controls touch gestures on mobile. touch-none disables all gestures (for custom drag handlers), touch-pan-x allows only horizontal swiping.",,
Interactivity,Will Change,will-change-{value},will-change-transform,will-change: transform,auto scroll contents transform,Tells the browser to optimize for upcoming changes. will-change-transform before animating smooths performance. Remove after to free resources.,,
Interactivity,Accent Color,accent-{color}-{shade},accent-blue-500,accent-color: #3b82f6,For checkboxes/radio buttons,Colors browser-native checkboxes and radio buttons to match your brand. Saves you from building custom checkbox components.,YES,Color palette is Frappe's custom set.
Interactivity,Caret Color,caret-{color}-{shade},caret-blue-500,caret-color: #3b82f6,Text input cursor color,Changes the blinking text cursor color inside inputs. A tiny detail that makes forms feel polished and on-brand.,YES,Color palette is Frappe's custom set.
Interactivity,Appearance,appearance-none | appearance-auto,appearance-none,appearance: none,Remove default browser styling,Removes default browser styling from form elements. appearance-none on selects/checkboxes so you can style them from scratch.,,
Tables,Border Collapse,border-collapse | border-separate,border-collapse,border-collapse: collapse,,"Controls whether table cell borders merge into one line or stay separate. border-collapse for clean traditional tables, border-separate for spaced cells.",,
Tables,Border Spacing,border-spacing-{value},border-spacing-2,border-spacing: 0.5rem,Uses spacing scale. Also: border-spacing-x-* border-spacing-y-*,Adds gaps between table cells (only works with border-separate). Use for card-style table layouts with visible spacing between cells.,,
Tables,Table Layout,table-auto | table-fixed,table-fixed,table-layout: fixed,,Controls how column widths are calculated. table-fixed makes all columns equal width — faster rendering and prevents content from blowing out columns.,,
Tables,Caption Side,caption-top | caption-bottom,caption-top,caption-side: top,,Moves the table caption above or below the table. A simple semantic control for table descriptions.,,
SVG,Fill,fill-{color}-{shade} | fill-none | fill-current,fill-current,fill: currentColor,,Colors the inside of SVG shapes. fill-current makes icons match the text color — so they auto-adapt to themes and hover states.,YES,Frappe UI adds semantic fill-ink-* and fill-surface-* colors via its palette extension.
SVG,Stroke,stroke-{color}-{shade} | stroke-current,stroke-current,stroke: currentColor,,Colors the outline/border of SVG shapes. stroke-current for icons that should match the surrounding text color.,YES,Frappe UI adds semantic stroke-ink-* colors via its palette extension.
SVG,Stroke Width,stroke-{value},stroke-2,stroke-width: 2,0 1 2,Controls how thick SVG outlines are. stroke-2 for bolder icon outlines that are more visible at small sizes.,,
Modifiers,Hover,hover:{class},hover:bg-blue-600,On hover,Prefix any utility class,"Applies a style only when the mouse is over the element. The bread and butter of interactive UI — change colors, shadows, or scale on hover.",,
Modifiers,Focus,focus:{class},focus:ring-2,On focus,Prefix any utility class,Applies a style when an element gets focus (click or tab into it). Essential for accessibility — add ring or outline so keyboard users can see what's selected.,,
Modifiers,Active,active:{class},active:bg-blue-800,While pressed,Prefix any utility class,Applies a style while the element is being pressed/clicked. Use for 'pressed button' effects — darken the color or shrink slightly.,,
Modifiers,Disabled,disabled:{class},disabled:opacity-50,When disabled,Prefix any utility class,Applies a style when the element is disabled. Classic usage: opacity-50 + cursor-not-allowed to make disabled buttons look unclickable.,,
Modifiers,First Child,first:{class},first:mt-0,First child element,Prefix any utility class,Applies a style to ONLY the first item in a list. Use first:mt-0 or first:rounded-t to style the top of a list differently.,,
Modifiers,Last Child,last:{class},last:mb-0,Last child element,Prefix any utility class,Applies a style to ONLY the last item in a list. Use last:mb-0 or last:border-b-0 to remove the bottom border/margin on the final item.,,
Modifiers,Odd,odd:{class},odd:bg-gray-50,Odd child elements,Prefix any utility class,"Applies a style to every other (1st, 3rd, 5th…) child. Use odd:bg-gray-50 for zebra-striped table rows that are easier to read.",,
Modifiers,Even,even:{class},even:bg-white,Even child elements,Prefix any utility class,"Applies a style to every other (2nd, 4th, 6th…) child. Pair with odd: for alternating row colors in tables and lists.",,
Modifiers,Group Hover,group-hover:{class},group-hover:text-blue-500,When parent .group is hovered,"Parent needs class=""group""","Applies a style to a child when its PARENT is hovered. Add class='group' to the parent, then group-hover:text-blue on the child. Great for card hover effects.",,
Modifiers,Focus Within,focus-within:{class},focus-within:ring-2,When any child has focus,Prefix any utility class,Applies a style to a container when ANY child inside it has focus. Use on form wrappers to highlight the whole input group when typing.,,
Modifiers,Focus Visible,focus-visible:{class},focus-visible:ring-2,Keyboard focus only,Prefix any utility class,Applies a style only for KEYBOARD focus (not mouse clicks). Use for accessible focus rings that don't appear on every mouse click.,,
Modifiers,Placeholder,placeholder:{class},placeholder:text-gray-400,Placeholder text,Prefix any utility class,Styles the placeholder text inside inputs. placeholder:text-gray-400 for subtle placeholder text that doesn't compete with actual values.,YES,"Frappe UI adds semantic placeholder-ink-* colors. Also, form-input component styles set placeholder to ink-gray-4 by default."
Modifiers,Dark Mode,dark:{class},dark:bg-gray-900,Dark mode,Prefix any utility class,Applies a style only in dark mode. Add dark:bg-gray-900 dark:text-white for automatic light/dark theme support.,YES,"Frappe UI configures darkMode as 'selector' using [data-theme=""dark""] attribute instead of Tailwind's default media query. You must set data-theme=""dark"" on an ancestor element — the prefers-color-scheme media query alone will NOT trigger dark: classes."
Modifiers,Responsive sm,sm:{class},sm:text-lg,>= 640px,Prefix any utility class,"Applies a style only on screens 640px and wider (large phones / small tablets). Build mobile-first, then add sm: overrides.",YES,Breakpoint still works — Frappe UI keeps this screen size in its config.
Modifiers,Responsive md,md:{class},md:grid-cols-2,>= 768px,Prefix any utility class,Applies a style only on screens 768px+ (tablets). The most common breakpoint — use md:grid-cols-2 to go from single column to two columns.,YES,Breakpoint still works — Frappe UI keeps this screen size in its config.
Modifiers,Responsive lg,lg:{class},lg:grid-cols-3,>= 1024px,Prefix any utility class,Applies a style only on screens 1024px+ (laptops). Use lg:grid-cols-3 for three-column layouts on bigger screens.,YES,Breakpoint still works — Frappe UI keeps this screen size in its config.
Modifiers,Responsive xl,xl:{class},xl:grid-cols-4,>= 1280px,Prefix any utility class,"Applies a style only on screens 1280px+ (desktops). Use for wide layouts, larger font sizes, or extra padding on big monitors.",YES,Breakpoint still works — Frappe UI keeps this screen size in its config.
Modifiers,Responsive 2xl,2xl:{class},2xl:max-w-screen-xl,>= 1536px,Prefix any utility class,Applies a style only on screens 1536px+ (large desktops). Use for ultra-wide layouts or capping content width on huge displays.,YES,"Frappe UI REPLACES the screens config with only sm(640), md(768), lg(1024), xl(1280). The 2xl(1536px) breakpoint is REMOVED and will NOT work."
Modifiers,Print,print:{class},print:hidden,When printing,Prefix any utility class,Applies a style only when the page is printed. Use print:hidden to hide navbars and sidebars from printouts.,,
Modifiers,Before,before:{class},before:content-['*'],::before pseudo-element,Prefix any utility class,"Styles the ::before pseudo-element. Use before:content-['*'] to add asterisks to required fields, or decorative elements without extra HTML.",,
Modifiers,After,after:{class},after:content-[''],::after pseudo-element,Prefix any utility class,"Styles the ::after pseudo-element. Use for decorative underlines, badges, or any visual element you want to add without touching HTML.",,
Modifiers,File Input,file:{class},file:bg-blue-500,::file-selector-button,For file input styling,Styles the 'Choose File' button on file inputs. Use file:bg-blue-500 file:text-white to make ugly default file buttons match your design.,,
Modifiers,Selection,selection:{class},selection:bg-blue-200,::selection,Text selection color,Styles highlighted/selected text. selection:bg-blue-200 changes the text highlight color to match your brand. A subtle but polished touch.,,
Modifiers,First Letter,first-letter:{class},first-letter:text-4xl,::first-letter,Prefix any utility class,Styles only the first letter of a text block. first-letter:text-4xl for a classic 'drop cap' effect like in books and magazines.,,
Modifiers,First Line,first-line:{class},first-line:font-bold,::first-line,Prefix any utility class,Styles only the first line of a text block. first-line:font-bold for emphasis on the opening line of a paragraph.,,
Modifiers,Marker,marker:{class},marker:text-blue-500,::marker,List bullet/number styling,Styles list bullet points or numbers. marker:text-blue-500 to color your bullets without affecting the list text itself.,,
Modifiers,Open,open:{class},open:bg-gray-50,<details> when open,Prefix any utility class,Applies a style when a <details> element is expanded. open:bg-gray-50 to highlight the open accordion panel.,,
Modifiers,Has,has-[selector]:{class},has-[:checked]:bg-blue-50,When contains matching element,Prefix any utility class,Applies a style when the element CONTAINS a matching child. has-[:checked]:bg-blue-50 highlights a label when its checkbox is checked. CSS parent selector magic.,,
Modifiers,Peer,peer-hover:{class},peer-hover:text-blue-500,When sibling .peer matches,"Sibling needs class=""peer""","Applies a style based on a SIBLING element's state. Add class='peer' to an input, then peer-hover:text-blue on its label. Sibling-aware styling without JS.",,
Modifiers,Arbitrary Variants,[&:nth-child(3)]:{class},[&:nth-child(3)]:bg-red-500,Custom selector,For any CSS selector,Write any CSS selector you want in brackets. [&:nth-child(3)]:bg-red targets just the 3rd child. The escape hatch for anything Tailwind doesn't have a built-in class for.,,
Arbitrary,Value,[property-arbitrary],w-[137px],width: 137px,Use any CSS value in brackets: bg-[#1a1a2e] text-[22px] grid-cols-[1fr_2fr],"Use any custom CSS value by putting it in square brackets. w-[137px] for exact pixel sizes, bg-[#1a1a2e] for custom hex colors. Your override when preset values don't fit.",,
